zaehler_id,kunde_id,kundentyp,vertragsleistung_kw,monat,monat_idx,arbeitstage,feiertage_im_monat,mittlere_temperatur_c,heiztage,produktionsplan_index,wartung_aktiv,vormonat_verbrauch_kwh,letzte_3_monate_durchschnitt_kwh,vorjahr_monat_verbrauch_kwh,verbrauch_kwh
ZL-00000,KD-221958,Gewerbe,74,2024-01,1,23,1,2.0,375,1.127,0,,,,8179.0
ZL-00000,KD-221958,Gewerbe,74,2024-02,2,21,0,1.6,385,1.089,0,8179.0,8179.0,,7529.0
ZL-00000,KD-221958,Gewerbe,74,03/2024,3,21,0,7.4,240,0.959,0,7529.0,7854.0,,6005.0
ZL-00000,KD-221958,Gewerbe,74,04/2024,4,22,1,8.6,210,1.021,0,6005.0,7237.666666666667,,6137.0
ZL-00000,KD-221958,Gewerbe,74,05/2024,5,23,1,16.1,22,,0,6137.0,6557.0,,8655.0
ZL-00000,KD-221958,Gewerbe,74,2024-06,6,20,0,16.2,20,1.079,0,8655.0,6932.333333333333,,6819.0
ZL-00000,KD-221958,Gewerbe,74,2024-07,7,23,0,16.5,12,0.977,0,6819.0,7203.666666666667,,6681.0
ZL-00000,KD-221958,Gewerbe,74,2024-08,8,22,0,18.5,0,0.911,0,6681.0,7385.0,,6280.0
ZL-00000,KD-221958,Gewerbe,74,09.2024,9,21,0,14.3,67,0.931,0,6280.0,6593.333333333333,,5003.0
ZL-00000,KD-221958,Gewerbe,74,2024-10,10,23,1,10.5,162,0.843,0,5003.0,5988.0,,5202.0
ZL-00000,KD-221958,Gewerbe,74,11/2024,11,21,1,6.3,268,0.936,0,5202.0,5495.0,,6352.0
ZL-00000,KD-221958,Gewerbe,74,12/2024,12,22,2,3.6,335,0.938,0,6352.0,5519.0,,5563.0
ZL-00000,KD-221958,Gewerbe,74,01/2025,1,23,1,0.7,408,1.061,0,5563.0,5705.666666666667,8179.0,8951.0
ZL-00000,KD-221958,Gewerbe,74,2025-02,2,20,0,1.0,400,1.282,0,8951.0,6955.333333333333,7529.0,7386.0
ZL-00000,KD-221958,Gewerbe,74,03/2025,3,21,0,4.3,318,1.084,0,7386.0,7300.0,6005.0,5952.0
ZL-00000,KD-221958,GEWERBE,74,04/2025,4,22,1,9.3,192,1.037,0,5952.0,7429.666666666667,6137.0,6308.0
ZL-00000,KD-221958,Gewerbe,74,05.2025,5,22,1,11.2,145,1.06,0,6308.0,6548.666666666667,8655.0,6265.0
ZL-00000,KD-221958,Gewerbe,74,06.2025,6,21,0,15.9,27,0.968,0,6265.0,6175.0,6819.0,5922.0
ZL-00000,KD-221958,Gewerbe,74,07/2025,7,23,0,20.9,0,0.946,0,5922.0,6165.0,6681.0,6409.0
ZL-00000,KD-221958,Gewerbe,74,08.2025,8,21,0,17.8,0,0.934,0,6409.0,6198.666666666667,6280.0,5100.0
ZL-00000,KD-221958,Gewerbe,74,09.2025,9,22,0,15.9,27,0.82,1,5100.0,5810.333333333333,5003.0,3657.0
ZL-00000,KD-221958,Gewerbe,74,10/2025,10,23,1,9.2,195,1.039,0,3657.0,5055.333333333333,5202.0,6554.0
ZL-00000,KD-221958,Gewerbe,74,2025-11,11,20,1,,208,1.023,0,6554.0,5103.666666666667,6352.0,6792.0
ZL-00000,KD-221958,GEWERBE,74,2025-12,12,23,2,4.8,305,0.939,0,6792.0,5667.666666666667,5563.0,5924.0
ZL-00001,KD-771155,Gewerbe,186,01/2024,1,23,1,1.9,378,1.069,0,,6673.0,,24075.0
ZL-00001,KD-771155,Gewerbe,186,2024-02,2,21,0,5.0,300,1.172,0,24075.0,15433.5,,20539.0
ZL-00001,KD-771155,Gewerbe,186,03.2024,3,21,0,6.5,262,1.084,0,20539.0,22307.0,,20378.0
ZL-00001,KD-771155,Gewerbe,186,04/2024,4,22,1,11.2,145,0.965,0,20378.0,21664.0,,15344.0
ZL-00001,KD-771155,Gewerbe,186,2024-05,5,23,1,15.9,27,1.229,0,15344.0,18753.666666666668,,22039.0
ZL-00001,KD-771155,Gewerbe,186,2024-06,6,20,0,17.3,0,0.911,0,22039.0,19253.666666666668,,17317.0
ZL-00001,KD-771155,Gewerbe,186,07.2024,7,23,0,16.7,8,0.993,0,17317.0,18233.333333333332,,17213.0
ZL-00001,KD-771155,Gewerbe,186,08/2024,8,22,0,20.2,0,0.926,0,17213.0,18856.333333333332,,16798.0
ZL-00001,KD-771155,Gewerbe,186,09/2024,9,21,0,14.3,67,0.785,1,16798.0,17109.333333333332,,9040.0
ZL-00001,KD-771155,Gewerbe,186,10.2024,10,23,1,10.4,165,1.027,0,9040.0,14350.333333333334,,18488.0
ZL-00001,KD-771155,Gewerbe,186,11/2024,11,21,1,6.4,265,0.93,0,18488.0,14775.333333333334,,18503.0
ZL-00001,KD-771155,Gewerbe,186,12/2024,12,22,2,,355,1.011,0,18503.0,15343.666666666666,,21658.0
ZL-00001,KD-771155,Gewerbe,186,01.2025,1,23,1,1.2,395,0.952,0,21658.0,19549.666666666668,24075.0,15340.0
ZL-00001,KD-771155,Gewerbe,186,02.2025,2,20,0,3.0,350,,0,15340.0,18500.333333333332,20539.0,15.673 MWh
ZL-00001,KD-771155,Gewerbe,186,2025-03,3,21,0,4.9,302,1.131,0,15673.0,17557.0,20378.0,17939.0
ZL-00001,KD-771155,Gewerbe,186,04/2025,4,22,1,9.9,178,1.234,0,17939.0,16317.333333333334,15344.0,22967.0
ZL-00001,KD-771155,Gewerbe,186,05.2025,5,22,1,15.3,42,0.926,1,22967.0,18859.666666666668,22039.0,12002.0
ZL-00001,KD-771155,GEWERBE,186,2025-06,6,21,0,19.7,0,1.012,0,12002.0,17636.0,17317.0,15607.0
ZL-00001,KD-771155,Gewerbe,186,07/2025,7,23,0,22.2,0,0.932,0,15607.0,16858.666666666668,17213.0,3569.4490599294927
ZL-00001,KD-771155,Gewerbe,186,2025-08,8,21,0,19.6,0,0.969,0,3569.4490599294927,10392.81635330983,16798.0,16457.0
ZL-00001,KD-771155,Gewerbe,186,09.2025,9,22,0,16.3,17,0.931,0,16457.0,11877.816353309832,9040.0,15905.0
